,ai_positionx,ai_positiony,ai_positionz,combatheadshot,combatlegshot,combattakedown,combattargettype,combattypeofkill,combatweaponused,enemyarch,isltl,killdist,playermovetype,playerpositionx,playerpositiony,playerpositionz,playervehicletype,takedownstate
7798,-1497.5934,387.9832,100.28652,0,0,0.0,3,0,1071250,0x6BF561D1,1,8.60349,1,-1501.397,380.92145,97.17451,Not in Vehicle,0.0
3841,-1114.6571,550.0579,125.05906,0,0,0.0,3,0,1047189,0x6BF561D1,1,10.324242,1,-1116.1512,540.4947,121.81503,Not in Vehicle,0.0
522,581.50134,-1377.5181,108.63916,0,1,0.0,3,0,628841,0x6BF561D1,1,7.329576,4,576.6998,-1382.9071,108.16127,Not in Vehicle,0.0
242,-299.39288,443.624,123.04548,0,0,0.0,3,0,1075121,0x6BF561D1,1,8.12549,1,-305.77362,439.53226,120.11816,Not in Vehicle,0.0
8384,-443.87518,-489.9692,101.78411,0,0,0.0,3,0,1072123,0x6BF561D1,1,5.126564,0,-446.64212,-493.1121,98.813736,Not in Vehicle,0.0
5432,-1222.0067,-1235.002,109.09408,0,0,0.0,3,0,525019,0xB2B12B51,1,1.779796,16,-1223.3269,-1234.4088,110.11485,Not in Vehicle,0.0
6207,-1116.0428,545.2374,127.437416,0,0,0.0,5,0,1075121,0xC267B78A,1,6.64178,1,-1112.5221,541.06445,123.65537,Not in Vehicle,0.0
6558,-1566.1055,296.71365,19.216524,0,0,0.0,3,0,1068245,0x8B6C0CD4,1,37.182976,1,-1530.052,296.8579,10.123516,Not in Vehicle,0.0
5560,639.24097,-488.9315,111.56443,0,0,0.0,3,0,628841,0xB2B12B51,1,8.672298,1,642.7402,-481.77768,108.321915,Not in Vehicle,0.0
4847,632.2838,-481.71915,114.033195,1,0,0.0,3,0,628841,0x6BF561D1,1,12.404591,4,631.79047,-492.0449,108.16856,Not in Vehicle,0.0
9906,-1008.6433,804.4268,103.66668,0,0,0.0,3,0,1087636,0xF487EE76,1,11.674038,16,-1000.6717,796.5037,100.51057,Not in Vehicle,0.0
