fact_playerkill.appid,fact_playerkill.spaceid,fact_playerkill.sessionid,fact_playerkill.playersessionid,fact_playerkill.profileid,fact_playerkill.totalplaytime,fact_playerkill.userid,fact_playerkill.clientip,fact_playerkill.countrycode,fact_playerkill.absoluteplaytime,fact_playerkill.relativeplaytime,fact_playerkill.createddate,fact_playerkill.eventid,fact_playerkill.environment,fact_playerkill.installmentname,fact_playerkill.release,fact_playerkill.app_name,fact_playerkill.spacename,fact_playerkill.country,fact_playerkill.business_region,fact_playerkill.geo_continent,fact_playerkill.subcontinent,fact_playerkill.region,fact_playerkill.access_contextid,fact_playerkill.access_contextname,fact_playerkill.combat_contextid,fact_playerkill.combat_contextname,fact_playerkill.gamemode_contextid,fact_playerkill.gamemode_contextname,fact_playerkill.keylocation_contextid,fact_playerkill.keylocation_contextname,fact_playerkill.lotd_contextid,fact_playerkill.lotd_contextname,fact_playerkill.match_contextid,fact_playerkill.match_contextname,fact_playerkill.matchmaking_contextid,fact_playerkill.matchmaking_contextname,fact_playerkill.missiontrack_contextid,fact_playerkill.missiontrack_contextname,fact_playerkill.opswap_contextid,fact_playerkill.opswap_contextname,fact_playerkill.playernav_contextid,fact_playerkill.playernav_contextname,fact_playerkill.playgo_contextid,fact_playerkill.playgo_contextname,fact_playerkill.raidboss1_contextid,fact_playerkill.raidboss1_contextname,fact_playerkill.recruitment_contextid,fact_playerkill.recruitment_contextname,fact_playerkill.remote_contextid,fact_playerkill.remote_contextname,fact_playerkill.savegame_contextid,fact_playerkill.savegame_contextname,fact_playerkill.unknown_contextid,fact_playerkill.unknown_contextname,fact_playerkill.ai_positionx,fact_playerkill.ai_positiony,fact_playerkill.ai_positionz,fact_playerkill.combatheadshot,fact_playerkill.combatlegshot,fact_playerkill.combattakedown,fact_playerkill.combattargettype,fact_playerkill.combattypeofkill,fact_playerkill.combattypeofkillname,fact_playerkill.combatweaponused,fact_playerkill.combatweaponusedname,fact_playerkill.contexts,fact_playerkill.copfelony,fact_playerkill.crimfelony,fact_playerkill.enemyarch,fact_playerkill.enemyarchdescription,fact_playerkill.enemylvl,fact_playerkill.factionid,fact_playerkill.isltl,fact_playerkill.issampled,fact_playerkill.killdist,fact_playerkill.offline,fact_playerkill.playerheatlevel,fact_playerkill.playermovetype,fact_playerkill.playerpositionx,fact_playerkill.playerpositiony,fact_playerkill.playerpositionz,fact_playerkill.playervehicletype,fact_playerkill.powerlevel,fact_playerkill.serverdate,fact_playerkill.takedownstate,fact_playerkill.p_dateid
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,259cdae6-a470-4801-b1fb-e6b5fafd1708,259cdae6-a470-4801-b1fb-e6b5fafd1708,69101e98-a9ec-4618-88b5-cfe386130043,511,69101e98-a9ec-4618-88b5-cfe386130043,92.249.69.6,UA,511,130,2020-11-24 08:41:21.196,259cdae6-a470-4801-b1fb-e6b5fafd1708_149,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,NULL,NULL,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEAB188883BAAB56F,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,279.51547,79.325424,104.66033,0,0,NA,5,0,Bullet,0,NULL,"[3,5,6,7]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,1,False,0.0,False,0,0,276.9703,80.667625,103.99992,Not in Vehicle,NULL,2020-11-24 08:41:54.418,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,259cdae6-a470-4801-b1fb-e6b5fafd1708,259cdae6-a470-4801-b1fb-e6b5fafd1708,69101e98-a9ec-4618-88b5-cfe386130043,483,69101e98-a9ec-4618-88b5-cfe386130043,92.249.69.6,UA,483,102,2020-11-24 08:40:54.492,259cdae6-a470-4801-b1fb-e6b5fafd1708_122,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,NULL,NULL,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEAB188883BAAB56F,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,243.21242,184.47049,104.614845,0,0,NA,5,0,Bullet,0,NULL,"[3,5,6,7]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,1,False,0.0,False,0,5,248.26622,184.28697,104.136215,Not in Vehicle,NULL,2020-11-24 08:41:14.327,NA,20201124
e3ebc0ef-19af-4704-8f6c-254d19129a02,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,1aae5e3c-8e03-4457-8e44-28cfc2c10c48,1aae5e3c-8e03-4457-8e44-28cfc2c10c48,a80c33e7-57f7-494b-b11f-0b606fb7aea5,19380,a80c33e7-57f7-494b-b11f-0b606fb7aea5,195.88.182.108,RO,19380,1703,2020-11-24 07:34:24.41,1aae5e3c-8e03-4457-8e44-28cfc2c10c48_1543,UAT,Orwell,PreLaunch,Orwell XONE,Orwell Crossplay RETAIL,Romania,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,51,Combat,5,Online_InGameMultiplePlayers,47,Sirs Hq,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEB2EA8A986EB3501,50,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,515.6294,994.6123,99.976204,0,0,NA,3,0,Bullet,0,NULL,"[3,5,6,47,50,51]",0,0,0x6BF561D1,WD3_AI_Drones.Authority.Chase_Drone.T1_Chase,NULL,15,1,False,0.0,False,2,5,517.56506,997.9778,99.53285,Not in Vehicle,NULL,2020-11-24 07:34:26.244,NA,20201124
e3ebc0ef-19af-4704-8f6c-254d19129a02,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,1aae5e3c-8e03-4457-8e44-28cfc2c10c48,1aae5e3c-8e03-4457-8e44-28cfc2c10c48,a80c33e7-57f7-494b-b11f-0b606fb7aea5,19350,a80c33e7-57f7-494b-b11f-0b606fb7aea5,195.88.182.108,RO,19351,1674,2020-11-24 07:33:53.358,1aae5e3c-8e03-4457-8e44-28cfc2c10c48_1513,UAT,Orwell,PreLaunch,Orwell XONE,Orwell Crossplay RETAIL,Romania,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,NULL,NULL,5,Online_InGameMultiplePlayers,47,Sirs Hq,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEB2EA8A986EB3501,50,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,495.4546,975.6547,105.61259,1,0,NA,5,0,Bullet,0,NULL,"[3,5,6,47,50]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,1,False,0.0,False,0,3,504.54858,973.42975,99.526085,Not in Vehicle,NULL,2020-11-24 07:33:55.959,NA,20201124
e3ebc0ef-19af-4704-8f6c-254d19129a02,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,8ce708cb-9345-4758-91a2-16adfb54baaa,8ce708cb-9345-4758-91a2-16adfb54baaa,c2463157-be72-4958-9416-6624530b265a,5335,c2463157-be72-4958-9416-6624530b265a,203.132.16.4,CA,5336,5227,2020-11-24 21:05:34.443,8ce708cb-9345-4758-91a2-16adfb54baaa_3901,UAT,Orwell,PreLaunch,Orwell XONE,Orwell Crossplay RETAIL,Canada,"United States, Canada",Americas,Northern America,NCSA,NULL,NULL,114,Combat,2,InGameAlone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,GST_005,103,0xE5B0EFB9E225C5A7,110,OnFoot,14,Gamestart,NULL,NULL,NULL,NULL,NULL,NULL,1,NewGame,NULL,NULL,837.5136,-526.9259,114.36185,1,0,NA,5,0,Bullet,0,NULL,"[1,2,14,91,103,110,114]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,1,False,0.0,False,0,2,829.2503,-508.82562,108.17449,Not in Vehicle,NULL,2020-11-24 21:05:41.208,NA,20201124
7765de0b-2ef1-4cff-88b3-bb63b1a039cf,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a,a3338e08-cc37-4968-8ba8-99bd8ea1978c,25700,a3338e08-cc37-4968-8ba8-99bd8ea1978c,213.242.117.250,PL,25700,2980,2020-11-24 08:53:16.631,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a_2329,UAT,Orwell,PreLaunch,Orwell PS4,Orwell Crossplay RETAIL,Poland,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,75,Combat,2,InGameAlone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,GST_005,65,0xDF60908A0A5FB878,72,OnFoot,11,Gamestart,NULL,NULL,NULL,NULL,NULL,NULL,1,NewGame,NULL,NULL,838.5984,-526.1201,113.86421,0,0,NA,5,0,Bullet,0,NULL,"[1,2,11,54,65,72,75]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,1,False,0.0,False,0,4,827.6356,-521.9189,108.27104,Not in Vehicle,NULL,2020-11-24 08:53:28.547,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,7e2da931-0baf-4379-9c63-510763cca606,7e2da931-0baf-4379-9c63-510763cca606,ddcac3e6-f95c-4934-90e4-bf4f0f982c6c,943,ddcac3e6-f95c-4934-90e4-bf4f0f982c6c,92.249.69.6,UA,943,843,2020-11-24 14:15:17.755,7e2da931-0baf-4379-9c63-510763cca606_672,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,38,Combat,31,Online_InGameMultiplePlayers,37,Quarantine Zone,NULL,NULL,32,Raid,NULL,NULL,35,RDS_120,25,0xE290EDCF89A2B92E,7,OnFoot,8,PlayGo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1643.243,-1198.3907,106.06604,0,0,NA,3,0,Bullet,0,NULL,"[7,8,25,31,32,35,37,38]",0,0,0x4FE9FE79,WD3_AI_Drones.Authority.CT_Drone.Raid_Gorgon_Drone,NULL,15,1,False,0.0,False,0,0,-1644.3098,-1196.0415,104.43359,Not in Vehicle,NULL,2020-11-24 14:15:43.549,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,703ff840-8baf-4096-8a98-6ad5e708cd66,703ff840-8baf-4096-8a98-6ad5e708cd66,53adae26-8bce-4e0a-a0ed-91bcd543500c,9541,53adae26-8bce-4e0a-a0ed-91bcd543500c,213.242.117.250,PL,9541,2781,2020-11-24 13:24:41.136,703ff840-8baf-4096-8a98-6ad5e708cd66_1617,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Poland,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,33,Combat,7,InGameAlone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,OPL_042,8,0xDFD3B2DF1F613DB5,9,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,SavedGame,NULL,NULL,-1614.4515,-1775.0883,110.924324,1,0,NA,5,0,Bullet,0,NULL,"[6,7,8,9,30,33]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,1,False,0.0,False,2,1,-1614.3143,-1784.6052,105.67551,Not in Vehicle,NULL,2020-11-24 13:25:03.577,NA,20201124
7765de0b-2ef1-4cff-88b3-bb63b1a039cf,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a,a3338e08-cc37-4968-8ba8-99bd8ea1978c,39115,a3338e08-cc37-4968-8ba8-99bd8ea1978c,213.242.117.250,PL,39115,16395,2020-11-24 12:53:32.271,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a_11428,UAT,Orwell,PreLaunch,Orwell PS4,Orwell Crossplay RETAIL,Poland,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,NULL,NULL,2,InGameAlone,294,Sirs Hq,NULL,NULL,NULL,NULL,NULL,NULL,289,OPL_108,263,0xDF6090E2F360DEF1,260,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NewGame,NULL,NULL,588.4913,1018.4913,57.826206,0,0,NA,3,0,Bullet,0,NULL,"[1,2,260,263,289,294]",0,0,0xE1313617,WD3_AI_Drones.Authority.Chase_Drone.KingMaker,NULL,15,1,False,0.0,False,0,4,591.8516,1016.63605,56.020203,Not in Vehicle,NULL,2020-11-24 12:53:34.104,NA,20201124
7765de0b-2ef1-4cff-88b3-bb63b1a039cf,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a,a3338e08-cc37-4968-8ba8-99bd8ea1978c,39013,a3338e08-cc37-4968-8ba8-99bd8ea1978c,213.242.117.250,PL,39013,16293,2020-11-24 12:51:51.126,ebd0dbe3-c790-4bad-92bd-5865bf0c3f6a_11364,UAT,Orwell,PreLaunch,Orwell PS4,Orwell Crossplay RETAIL,Poland,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,NULL,NULL,2,InGameAlone,294,Sirs Hq,NULL,NULL,NULL,NULL,NULL,NULL,289,OPL_108,263,0xDF6090E2F360DEF1,260,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NewGame,NULL,NULL,578.0639,972.05975,55.324898,0,0,NA,5,0,Bullet,0,NULL,"[1,2,260,263,289,294]",0,0,0x4A22FC60,WD3_AI_Drones.Authority.Chase_Drone.SIRS_Microwave,NULL,15,1,False,0.0,False,0,4,574.9293,974.3467,54.010803,Not in Vehicle,NULL,2020-11-24 12:52:02.158,NA,20201124
