fact_playerkill.appid,fact_playerkill.spaceid,fact_playerkill.sessionid,fact_playerkill.playersessionid,fact_playerkill.profileid,fact_playerkill.totalplaytime,fact_playerkill.userid,fact_playerkill.clientip,fact_playerkill.countrycode,fact_playerkill.absoluteplaytime,fact_playerkill.relativeplaytime,fact_playerkill.createddate,fact_playerkill.eventid,fact_playerkill.environment,fact_playerkill.installmentname,fact_playerkill.release,fact_playerkill.app_name,fact_playerkill.spacename,fact_playerkill.country,fact_playerkill.business_region,fact_playerkill.geo_continent,fact_playerkill.subcontinent,fact_playerkill.region,fact_playerkill.access_contextid,fact_playerkill.access_contextname,fact_playerkill.combat_contextid,fact_playerkill.combat_contextname,fact_playerkill.gamemode_contextid,fact_playerkill.gamemode_contextname,fact_playerkill.keylocation_contextid,fact_playerkill.keylocation_contextname,fact_playerkill.lotd_contextid,fact_playerkill.lotd_contextname,fact_playerkill.match_contextid,fact_playerkill.match_contextname,fact_playerkill.matchmaking_contextid,fact_playerkill.matchmaking_contextname,fact_playerkill.missiontrack_contextid,fact_playerkill.missiontrack_contextname,fact_playerkill.opswap_contextid,fact_playerkill.opswap_contextname,fact_playerkill.playernav_contextid,fact_playerkill.playernav_contextname,fact_playerkill.playgo_contextid,fact_playerkill.playgo_contextname,fact_playerkill.raidboss1_contextid,fact_playerkill.raidboss1_contextname,fact_playerkill.recruitment_contextid,fact_playerkill.recruitment_contextname,fact_playerkill.remote_contextid,fact_playerkill.remote_contextname,fact_playerkill.savegame_contextid,fact_playerkill.savegame_contextname,fact_playerkill.unknown_contextid,fact_playerkill.unknown_contextname,fact_playerkill.ai_positionx,fact_playerkill.ai_positiony,fact_playerkill.ai_positionz,fact_playerkill.combatheadshot,fact_playerkill.combatlegshot,fact_playerkill.combattakedown,fact_playerkill.combattargettype,fact_playerkill.combattypeofkill,fact_playerkill.combattypeofkillname,fact_playerkill.combatweaponused,fact_playerkill.combatweaponusedname,fact_playerkill.contexts,fact_playerkill.copfelony,fact_playerkill.crimfelony,fact_playerkill.enemyarch,fact_playerkill.enemyarchdescription,fact_playerkill.enemylvl,fact_playerkill.factionid,fact_playerkill.isltl,fact_playerkill.issampled,fact_playerkill.killdist,fact_playerkill.offline,fact_playerkill.playerheatlevel,fact_playerkill.playermovetype,fact_playerkill.playerpositionx,fact_playerkill.playerpositiony,fact_playerkill.playerpositionz,fact_playerkill.playervehicletype,fact_playerkill.powerlevel,fact_playerkill.serverdate,fact_playerkill.takedownstate,fact_playerkill.p_dateid
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,8cd50b59-600b-4b6f-8fda-a0401133e0d5,8cd50b59-600b-4b6f-8fda-a0401133e0d5,32b9739c-77f8-4fb3-924e-200b2501480f,523,32b9739c-77f8-4fb3-924e-200b2501480f,203.132.16.4,CA,523,523,2020-11-24 18:31:28.889,8cd50b59-600b-4b6f-8fda-a0401133e0d5_575,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Canada,"United States, Canada",Americas,Northern America,NCSA,NULL,NULL,NULL,NULL,31,Online_InGameMultiplePlayers,36,The Earl's Fortune,NULL,NULL,32,Sandbox,NULL,NULL,NULL,NULL,33,0xE5133F95DFE5213B,22,OnFoot,8,PlayGo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,423.9115,244.73726,105.63631,0,0,NA,5,1,Melee,0,NULL,"[8,22,31,32,33,36]",0,0,0xC267B78A,FlyingDrone.News,NULL,0,0,False,0.0,False,0,0,423.74893,246.5743,105.194244,Not in Vehicle,NULL,2020-11-24 18:31:50.991,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,8119,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,8120,686,2020-11-24 08:52:11.185,52df80d3-f442-47ef-bfab-f81020fa5cb3_658,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,262.25955,197.32385,104.47535,0,0,NA,3,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x6BF561D1,WD3_AI_Drones.Authority.Chase_Drone.T1_Chase,NULL,15,0,False,0.0,False,4,5,267.72516,200.9447,103.98958,Not in Vehicle,NULL,2020-11-24 08:52:24.217,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,8153,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,8153,719,2020-11-24 08:52:44.47,52df80d3-f442-47ef-bfab-f81020fa5cb3_683,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182.83478,214.5071,104.54421,0,0,NA,5,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0xDA7E7AFE,FlyingDrone.Delivery,NULL,0,0,False,0.0,False,4,0,180.99437,214.59424,104.12664,Not in Vehicle,NULL,2020-11-24 08:52:57.48,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,8132,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,8132,698,2020-11-24 08:52:23.394,52df80d3-f442-47ef-bfab-f81020fa5cb3_668,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.68816,204.72623,104.655075,0,0,NA,5,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,0,False,0.0,False,4,0,194.66687,204.80112,104.0928,Not in Vehicle,NULL,2020-11-24 08:52:57.48,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,8281,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,8281,847,2020-11-24 08:54:53.329,52df80d3-f442-47ef-bfab-f81020fa5cb3_795,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-214.29436,280.5296,103.19475,0,0,NA,3,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x6BF561D1,WD3_AI_Drones.Authority.Chase_Drone.T1_Chase,NULL,15,0,False,0.0,False,4,0,-214.77188,279.65076,102.7396,Not in Vehicle,NULL,2020-11-24 08:55:04.034,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,7724,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,7725,291,2020-11-24 08:45:36.606,52df80d3-f442-47ef-bfab-f81020fa5cb3_281,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,304.2383,192.5534,105.37908,0,0,NA,3,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x6BF561D1,WD3_AI_Drones.Authority.Chase_Drone.T1_Chase,NULL,15,0,False,0.0,False,3,0,303.75534,193.85542,104.0019,Not in Vehicle,NULL,2020-11-24 08:46:00.877,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,7913,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,7914,480,2020-11-24 08:48:44.492,52df80d3-f442-47ef-bfab-f81020fa5cb3_461,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,300.6981,183.83621,104.38681,0,0,NA,3,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x6BF561D1,WD3_AI_Drones.Authority.Chase_Drone.T1_Chase,NULL,15,0,False,0.0,False,4,4,296.7696,185.40068,104.001114,Not in Vehicle,NULL,2020-11-24 08:49:08.319,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,7820,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,7820,386,2020-11-24 08:47:11.133,52df80d3-f442-47ef-bfab-f81020fa5cb3_370,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,274.07968,198.46259,104.41817,0,0,NA,3,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x6BF561D1,WD3_AI_Drones.Authority.Chase_Drone.T1_Chase,NULL,15,0,False,0.0,False,3,0,274.85944,197.46982,103.988846,Not in Vehicle,NULL,2020-11-24 08:47:34.018,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,7750,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,7750,316,2020-11-24 08:46:01.196,52df80d3-f442-47ef-bfab-f81020fa5cb3_302,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,288.3762,191.1561,104.65314,0,0,NA,5,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0xC267B78A,FlyingDrone.News,NULL,0,0,False,0.0,False,3,0,286.6599,190.0248,103.99382,Not in Vehicle,NULL,2020-11-24 08:46:17.127,NA,20201124
ade80bc2-0462-42bc-837a-851386dc5a9e,c619c78d-1c6b-47cf-9b36-80160d5c0e8f,52df80d3-f442-47ef-bfab-f81020fa5cb3,52df80d3-f442-47ef-bfab-f81020fa5cb3,50736ee3-bba2-4da2-ad6f-3b7088339ab2,7664,50736ee3-bba2-4da2-ad6f-3b7088339ab2,92.249.69.6,UA,7664,230,2020-11-24 08:44:35.53,52df80d3-f442-47ef-bfab-f81020fa5cb3_213,UAT,Orwell,PreLaunch,Orwell PC,Orwell Crossplay RETAIL,Ukraine,"Africa, Western Asia, Central & Eastern Europe",Europe,Eastern Europe,EMEA,NULL,NULL,15,Combat,5,Online_InGameMultiplePlayers,NULL,NULL,NULL,NULL,6,Sandbox,NULL,NULL,NULL,NULL,3,0xEBD5A2E61A6BD9C1,7,OnFoot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266.63437,190.89041,104.79987,0,0,NA,5,1,Melee,0,NULL,"[3,5,6,7,15]",0,0,0x12FA11A9,FlyingDrone.Scanner,NULL,7,0,False,0.0,False,2,5,268.6832,191.91719,103.986946,Not in Vehicle,NULL,2020-11-24 08:44:58.487,NA,20201124
